,Unnamed: 0,Unnamed: 0.1,title,a0,a1,q0,q1,source,sub_id,cond,val,index
606,606,606,Footbridge,no,i would find another way to notify them than involving an innocent bystander.,"A runaway trolley is heading down the tracks toward five workmen who will  be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large. The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved. Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen?",Why?,Human,60990cfc7441dc3e4c3e071a,personal_moral,no,606
607,607,607,Ecologists,yes,if there is a chance of saving the lives of eight children it is worth the sacrifice,"You are part of a group of ecologists who live in a remote  stretch of jungle. The entire group, which includes eight children, has been taken hostage by a group of paramilitary terrorists. One of the terrorists takes a liking to you. He informs you that his leader intends to kill you and the rest of the hostages the following morning. He is willing to help you and the children escape, but as an act of good faith he wants you to kill one of your fellow hostages whom he does not like. If you refuse his offer all the hostages including the children and yourself will die. If you accept his offer then the others will die in the morning but you and the eight children will escape. Is it appropriate for you to kill one of your fellow hostages in order to escape from the terrorists and save the lives of the eight children?",Why?,Human,60841d3e92be890d07774975,personal_moral,yes,607
608,608,608,Plant Transport,yes, because the cost of replacing the upholstery would be much more expensive than the cost of making two trips home.,"You are bringing home a number of plants from a store that is   about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased. You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace. Would you make two trips home in order to avoid ruining the upholstery of your car? ",Why?,AI,28.0,non_moral,yes,608
609,609,609,Environmental Policy B1,no,it will cause less deaths choosing policy a,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A?",Why?,Human,601c2a9251c0bc6ca76c8d75,impersonal_moral,no,609
610,610,610,Illegal Lunch,no,because it undermines how the court is supposed to work,"You are a lawyer working on a big case. The judge presiding over  the trial happens to be someone you knew from law school. The two of you were rather friendly back then, but now, decades later, it seems that your old friend barely remembers you. You're quite sure that if you were to talk to him over lunch, you could jog his memory and he would begin to see you as an old buddy, which would be very good for your work on this case. It's illegal for judges and lawyers working on the same case to meet socially. Is it appropriate for you to meet with this judge socially in order to help you win your case?",Why?,Human,5bec8053b6b5ab00017c7349,impersonal_moral,no,610
611,611,611,Vaccine Policy,yes,  it is appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health because the available evidence suggests that the chances of developing the disease due to lack of vaccination are much higher than the chances of getting the disease from the vaccine. this means that encouraging the use of the vaccine is the best way to protect the health of the population as a whole and reduce the spread of the deadly disease.,"You work for the Bureau of Health, a government agency. You are deciding   whether or not your agency should encourage the use of a certain recently developed vaccine. The vast majority of people who take the vaccine develop an immunity to a certain deadly disease, but a very small number of people who take the vaccine will actually get the disease that the vaccine is designed to prevent. All the available evidence, which is very strong, suggests that the chances of getting the disease due to lack of vaccination are much higher than the chances of getting the disease by taking the vaccine. Is it appropriate for you to direct your agency to encourage the use of this vaccine in order to promote national health? ",Why?,AI,22.0,impersonal_moral,yes,611
612,612,612,Taxes,yes,sometimes the government is very corrupt so i think you should take advantage where you can ,"You are the owner of a small business trying to make ends meet.  It occurs to you that you could lower your taxes by pretending that some of your personal expenses are business expenses. For example, you could pretend that the stereo in your bedroom is being used in the lounge at the office, or that your dinners out with your wife are dinners with clients. Is it appropriate for you to pretend that certain personal expenses are business expenses in order to lower your taxes?",Why?,Human,610024bfd6e1038ba3b1601d,impersonal_moral,yes,612
613,613,613,Footbridge,no,  it is wrong to take away another person's right to life in order to save another's because that would be an unjustifiable sacrifice of one life in order to save the lives of five others. we should not be making decisions about the value of one life over another. every life is equally valuable and should be respected.,"A runaway trolley is heading down the tracks toward five workmen who will   be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large. The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved. Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen? ",Why?,AI,21.0,personal_moral,no,613
614,614,614,Environmental Policy A1,yes,less deaths with this policy,"You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy A over Policy B?",Why?,Human,610024bfd6e1038ba3b1601d,impersonal_moral,yes,614
615,615,615,Lawrence of Arabia,yes,"in this scenario, you would be in charge of your own destiny and it seems like a situation that the needs of the many outweigh the needs of the proven murderer.","You are the leader of a small army that consists of warriors from  two tribes, the hill tribe and the river tribe. You belong to neither tribe. During the night a hill tribesman got into an argument with a river tribesman and murdered him. The river tribe will attack the hill tribe unless the murderer is put to death, but the hill tribe refuses to kill one of its own warriors. The only way for you to avoid a war between the two tribes that will costs hundreds of lives is to publicly execute the murderer by cutting off is head with your sword. Is it appropriate for you to cut off this man's head in order to prevent the two tribes from fighting a war that will cost hundreds of lives?",Why?,Human,60990cfc7441dc3e4c3e071a,personal_moral,yes,615
616,616,616,Standard Fumes,yes," because the action of hitting the switch will save more lives than it will cost, and it is our duty to save as many lives as possible.","You are the late-night watchman in a hospital. Due to an accident in   the building next door, there are deadly fumes rising up through the hospital’s ventilation system. In a certain room of the hospital are three patients. In another room there is a single patient. If you do nothing the fumes will rise up into the room containing the three patients and cause their deaths. The only way to avoid the deaths of these patients is to hit a certain switch, which will cause the fumes to bypass the room containing the three patients. As a result of doing this the fumes will enter the room containing the single patient, causing his death. Is it appropriate for you to hit the switch in order to avoid the deaths of the three patients? ",Why?,AI,1.0,impersonal_moral,yes,616
617,617,617,Plane Crash,yes,"if he is going to die anyway then it would seem pointless to end up with three dead bodies, because he is dying then i think is okay to live off his carcass.","Your plane has crashed in the Himalayas. The only survivors are yourself, another  man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety?",Why?,Human,5b421b9ac2e3810001763252,personal_moral,yes,617
618,618,618,Investment Offer,no,  investing in a mutual fund with a poor performance track record is a risky decision and could lead to losses. it is better to invest in other options that have a higher chance of providing a return.,"You are at home one day when the mail arrives. You receive a   letter from a reputable corporation that provides financial services. They have invited you to invest in a mutual fund, beginning with an initial investment of one thousand dollars. As it happens, you are familiar with this particular mutual fund. It has not performed very well over the past few years, and, based on what you know, there is no reason to think that it will perform any better in the future. Would you invest a thousand dollars in this mutual fund in order to make money? ",Why?,AI,17.0,non_moral,no,618
619,619,619,Footbridge,no,"  because it would be an act of murder, and taking someone's life is never justified, no matter the circumstances or the potential lives that could be saved. respect for the life of the stranger is paramount, and their death should not be used as a means to save the five workmen.","A runaway trolley is heading down the tracks toward five workmen who will   be killed if the trolley proceeds on its present course. You are on a footbridge over the tracks, in between the approaching trolley and the five workmen. Next to you on this footbridge is a stranger who happens to be very large. The only way to save the lives of the five workmen is to push this stranger off the bridge and onto the tracks below where his large body will stop the trolley. The stranger will die if you do this, but the five workmen will be saved. Is it appropriate for you to push the stranger on to the tracks in order to save the five workmen? ",Why?,AI,22.0,personal_moral,no,619
620,620,620,New Job,no,because two days of extra vacation per year is not equal to doubling my annual salary. i would much rather have double the money and spend more of it when i am on my 14 days of vacation.,"You have been offered employment by two different firms, and you are  trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B's offer in order to have two more days of vacation per year?",Why?,Human,5b258c9ba7cee100011d8aad,non_moral,no,620
621,621,621,Choosing Classes,yes," it is necessary to complete the required courses in order to graduate and the fall term is the only time to take the history class. as such, it makes sense to take the history class during the fall term in order to fulfill your graduation requirements.","You are beginning your senior year of college. In order to fulfill your   graduation requirements you need to take a history class and a science class by the end of the year. During the fall term, the history class you want to take is scheduled at the same time as the science class you want to take. During the spring term the same history class is offered, but the science class is not. Would you take the history class during the fall term in order to help you fulfill your graduation requirements? ",Why?,AI,19.0,non_moral,yes,621
622,622,622,Euthanasia,no," killing this soldier may be the quickest way to prevent him from being tortured, however it can also have an adverse effect on morale in the group, and could lead to feelings of guilt and trauma. additionally, the group may be unable to find another way out of the situation, and their actions may be seen as unjustified by others. ultimately, the decision should be made with the consent of the entire group, after all other options have been considered.","You are the leader of a small group of soldiers. You are on   your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy? ",Why?,AI,29.0,personal_moral,no,622
623,623,623,Infanticide,no,"if i am unable to look after the baby. and have no sympathy, enough to the point that i would just throw it in the trash. i could instead make sure it gets adopted ","You are a fifteen year-old girl who has become pregnant. By wearing loose  clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess you've made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life?",Why?,Human,637ef49d54038582f78ff288,personal_moral,no,623
624,624,624,Speedboat,yes,"  it is important to take immediate action to ensure the safety of the tourists. in this case, borrowing the speedboat is necessary to prevent potential harm to the group. even if it means upsetting the tycoon, it is more important to prioritize the safety of the tourists.","While on vacation on a remote island, you are fishing from a seaside   dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who would not take kindly to your borrowing his property. Is it appropriate for you to borrow the speedboat in order to warn the tourists about the storm? ",Why?,AI,25.0,impersonal_moral,yes,624
625,625,625,Euthanasia,no,"  killing the soldier would be an extreme measure that should only be taken if all other options have been exhausted. taking a life is an irreversible act and should not be done lightly. as a leader, it is your responsibility to protect your soldiers, not to take their lives. it would be more appropriate to try to find a way to take the injured soldier with you, or to provide him with medical treatment and leave him in a safe place.","You are the leader of a small group of soldiers. You are on   your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy? ",Why?,AI,20.0,personal_moral,no,625
626,626,626,Sculpture ,yes,"a sculpture can be replaced as a material possession, a life can not be replaced so would certainly destroy the sculpture in this case.","You are visiting the sculpture garden of a wealthy art collector. The garden  overlooks a valley containing a set of train tracks. A railway workman is working on the tracks, and an empty runaway trolley is heading down the tracks toward the workman. The only way to save the workman's life is to push one of the art collector'sprized sculptures down into the valley so that it will roll onto the tracks and block the trolley's passage. Doing this will destroy the sculpture. Is it appropriate for you to destroy the sculpture in order to save this workman's life?",Why?,Human,5b421b9ac2e3810001763252,impersonal_moral,yes,626
627,627,627,Environmental Policy A2,yes,"even though the odds are lower that no one will die, it's only a 2% difference and if the other option happens 10 people rather than 1000 people will die. ",You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has an 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy B over Policy A?,Why?,Human,60fd310fff5b2600c9d95554,impersonal_moral,yes,627
628,628,628,Environmental Policy B2,no,the 2% difference in no deaths doesn't outweigh the loss of life between policy A and b (1000 - 10),You are a member of a government legislature. The legislature is deciding between  two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy A over Policy B?,Why?,Human,5f4a5983a08b215d74d2cd99,impersonal_moral,no,628
629,629,629,Hired Rapist,no,organising a horrific crime against someone in order to create a reality where you're a hero is pychopathic ,"You have been dissatisfied with your marriage for several years. It is your  distinct impression that your partner no longer appreciates you. You remember how they appreciated you years ago when you took care of them after they was mugged. You devise the following plan to regain your partner's affection. You will hire a person to break into your house while you are away. This person will tie up and sexually assault your partner. You, upon hearing the horrible news, will return swiftly to their side, to take care of them and comfort them, and they will once again appreciate you. Is it appropriate for you to hire a person to sexually assault your partner so that they will appreciate you as you comfort them?",Why?,Human,600976bb815503417c529565,personal_moral,no,629
630,630,630,Coupons,yes," by using the 30%-off coupon, i would be able to save more money today and be able to save even more money in the future with the 25%-off coupon.","You have gone to a bookstore to buy $50 worth of books. You   have with you two coupons. One of these coupons gives you 30% off of your purchase price. This coupon expires tomorrow. The other coupon gives you 25% off your purchase price, and this coupon does not expire for another year. Would you use the 30%-off coupon for your present purchase so that you will have another coupon to use during the coming year? ",Why?,AI,3.0,non_moral,yes,630
631,631,631,Country Road,no,it can be cleansed at a later date.,"You are driving along a country road when you hear a plea for  help coming from some roadside bushes. You pull over and encounter a man whose legs are covered with blood. The man explains that he has had an accident while hiking and asks you to take him to a nearby hospital. Your initial inclination is to help this man, who will probably lose his leg if he does not get to the hospital soon. However, if you give this man a lift, his blood will ruin the leather upholstery of your car. Is it appropriate for you to leave this man by the side of the road in order to preserve your leather upholstery?",Why?,Human,60990cfc7441dc3e4c3e071a,personal_moral,no,631
632,632,632,Brownies,yes,because i want to enjoy eating the brownies i bake and i don't like walnuts ,"You have decided to make a batch of brownies for yourself. You open  your recipe book and find a recipe for brownies. The recipe calls for a cup of chopped walnuts. You don't like walnuts, but you do like macadamia nuts. As it happens, you have both kinds of nuts available to you. Would you substitute macadamia nuts for walnuts in order to avoid eating walnuts?",Why?,Human,614726b73ab8022a9edc7f45,non_moral,yes,632
633,633,633,Coupons,yes,"  using the 30%-off coupon for your present purchase will allow you to save money on future purchases and will provide you with more savings over the long-term. by using the coupon now, you will have another coupon available that you can use in the coming year, thus allowing you to increase your savings for future purchases.","You have gone to a bookstore to buy $50 worth of books. You   have with you two coupons. One of these coupons gives you 30% off of your purchase price. This coupon expires tomorrow. The other coupon gives you 25% off your purchase price, and this coupon does not expire for another year. Would you use the 30%-off coupon for your present purchase so that you will have another coupon to use during the coming year? ",Why?,AI,0.0,non_moral,yes,633
634,634,634,Raffle,no,  i would not buy a ticket for the car b raffle because the odds of winning remain the same in both raffles and my chances of winning are still better in the car a raffle due to the higher number of people buying tickets for the car b raffle.,"You’ve decided to buy a raffle ticket to support a local charity. They   are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car? ",Why?,AI,4.0,non_moral,no,634
635,635,635,Crying Baby,no,  it is not appropriate to smother your child in order to save yourself and the other townspeople because taking a life — even your own child’s — is never an acceptable solution. this is especially true when it is a helpless child who cannot defend himself or make any decisions for himself. killing your child would be an extreme and irreversible action that should only be taken as a last resort after all other options have been exhausted.,"Enemy soldiers have taken over your village. They have orders to kill all   remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople? ",Why?,AI,8.0,personal_moral,no,635
636,636,636,Scenic Route,yes,because it's only an extra 15 minutes on the road and at least you get to look at some beautiful views.,"An old friend has invited you to spend the weekend with him at  his summer home some ways up the coast from where you are. You intend to travel there by car, and there are two routes that you can take: the highway and the coastal road. The highway will get you to your friend's house in about three hours, but the scenery along the highway is very boring. The coastal route will get you to your friend's house in about three hours and fifteen minutes, and the scenery along the coastal road is breathtakingly beautiful. Would you take the coastal route in order to observe the beautiful scenery as you drive?",Why?,Human,60fd310fff5b2600c9d95554,non_moral,yes,636
637,637,637,Guarded Speedboat,yes,peoples lives are at risk,"While on vacation on a remote island, you are fishing from a seaside  dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who has hired a fiercely loyal guard to make sure that no one uses his boat without permission. To get to the speedboat you will have to lie to the guard. Is it appropriate for you to lie to the guard in order to borrow the speedboat and warn the tourists about the storm?",Why?,Human,62fb79e7c968f4fc555d1e2f,impersonal_moral,yes,637
638,638,638,Scheduling,yes,would make sense so they both make their appointment ,"You are in charge of scheduling appointments in a dentist's office. Two people,  Mr. Morris and Mrs. Santiago have called to make appointments for next Monday. The only available times for next Monday are at 10:00 AM and at 3:00 PM. Mr. Morris's schedule is rather flexible. He can have his appointment either at 10:00 AM or at 3:00 PM. Mrs. Santiago's schedule is less flexible. She can only have her appointment at 10:00 AM. Would you schedule Mr. Morris for 3:00 PM so that both he and Mrs. Santiago can have their appointments next Monday?",Why?,Human,613480877420e274a0dd9779,non_moral,yes,638
639,639,639,Sculpture ,yes,"  it is important to prioritize human life over material possessions, and in this situation, destroying a sculpture is the only way to save a life. it is the right decision to make in order to protect the workman and ensure their safety.","You are visiting the sculpture garden of a wealthy art collector. The garden   overlooks a valley containing a set of train tracks. A railway workman is working on the tracks, and an empty runaway trolley is heading down the tracks toward the workman. The only way to save the workman’s life is to push one of the art collector’sprized sculptures down into the valley so that it will roll onto the tracks and block the trolley’s passage. Doing this will destroy the sculpture. Is it appropriate for you to destroy the sculpture in order to save this workman’s life? ",Why?,AI,21.0,impersonal_moral,yes,639
640,640,640,Euthanasia,yes,it would save everyone else,"You are the leader of a small group of soldiers. You are on  your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy?",Why?,Human,5c3f3ae7d831ed0001f78c4f,personal_moral,yes,640
641,641,641,Lost Wallet,no,it is not appropriate because the money does not belong to me ,"You are walking down the street when you come across a wallet lying  on the ground. You open the wallet and find that it contains several hundred dollars in cash as well the owner's driver's license. From the credit cards and other items in the wallet it's very clear that the wallet's owner is wealthy. You, on the other hand, have been hit by hard times recently and could really use some extra money. You consider sending the wallet back to the owner without the cash, keeping the cash for yourself. Is it appropriate for you to keep the money you found in the wallet in order to have more money for yourself?",Why?,Human,610024bfd6e1038ba3b1601d,impersonal_moral,no,641
642,642,642,Infanticide,no,the baby has an actual life - it could be put up for adoption - or left in a safe facility,"You are a fifteen year-old girl who has become pregnant. By wearing loose  clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess you've made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life?",Why?,Human,638070625c26e262f2163254,personal_moral,no,642
643,643,643,Sculpture ,yes,lives are more important than sculptures. ,"You are visiting the sculpture garden of a wealthy art collector. The garden  overlooks a valley containing a set of train tracks. A railway workman is working on the tracks, and an empty runaway trolley is heading down the tracks toward the workman. The only way to save the workman's life is to push one of the art collector'sprized sculptures down into the valley so that it will roll onto the tracks and block the trolley's passage. Doing this will destroy the sculpture. Is it appropriate for you to destroy the sculpture in order to save this workman's life?",Why?,Human,6294bad868788e1f03d52c6c,impersonal_moral,yes,643
644,644,644,Country Road,no,the person's life in front of me is more important than the leather of my car.,"You are driving along a country road when you hear a plea for  help coming from some roadside bushes. You pull over and encounter a man whose legs are covered with blood. The man explains that he has had an accident while hiking and asks you to take him to a nearby hospital. Your initial inclination is to help this man, who will probably lose his leg if he does not get to the hospital soon. However, if you give this man a lift, his blood will ruin the leather upholstery of your car. Is it appropriate for you to leave this man by the side of the road in order to preserve your leather upholstery?",Why?,Human,5b5523d6d8348500012cfccf,personal_moral,no,644
646,646,646,Architect,no,"  it is not appropriate to take someone's life in order to get them out of your life. taking someone's life is a serious and irreversible decision that should never be taken lightly. taking a life is a violation of the sanctity of life, and it is never appropriate to use violence to resolve a situation. additionally, it is not appropriate to take the law into your own hands and take justice into your own hands, as that is not the way justice works.",You are a young architect visiting one of your construction sites with your   boss. Your boss is a despicable individual who makes everyone around him miserable including you. It occurs to you that if you were to push him off of the building you are inspecting he would fall to his death and everyone would think it was an accident. Is it appropriate for you to push your boss off of the building in order to get him out of your life? ,Why?,AI,14.0,personal_moral,no,646
647,647,647,Vitamins,yes,"because it will not kill the man, and will save more lives of the party.","You are the leader of a mountaineering expedition that is stranded in the  wilderness. Your expedition includes a family of six that has a genetically caused vitamin deficiency. A few people's kidneys contain large amounts of this vitamin. There is one such person in your party. The only way to save the lives of the six members of this family is to remove one of this man's kidneys so that the necessary vitamins may be extracted from it. The man will not die if you do this, but his health will be compromised. The man is opposed to this plan, but you have the power to do as you see fit. Is it appropriate for you to forcibly remove this man's kidney in order to save the lives of the six vitamin-deficient people?",Why?,Human,5b5523d6d8348500012cfccf,personal_moral,yes,647
648,648,648,Environmental Policy A2,no,"   voting for policy B over policy A would be irresponsible, as it has a higher potential number of deaths. the potential number of deaths should be taken into account when making a decision between policies, and in this case, policy A has a lower chance of causing deaths overall.",You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has an 88% chance of causing no deaths and a 12% chance of causing 10 deaths. Is it appropriate for you to vote for Policy B over Policy A? ,Why?,AI,15.0,impersonal_moral,no,648
649,649,649,Smother for dollars,no,"  killing someone, regardless of the circumstances, is morally wrong and illegal. taking a human life is an irreversible action that cannot be taken lightly, and it is not appropriate to do so in order to get money for oneself and another person. the young man should seek legal advice on how to access his father's life insurance policy and receive the money without having to resort to such extreme measures.","You are in hospital lounge waiting to visit a sick friend. A young   man sitting next to you explains that his father is very ill. The doctors believe that he has a week to live at most. He explains further that his father has a substantial life insurance policy that expires at midnight. If his father dies before midnight, this young man will receive a very large sum of money. He says that the money would mean a great deal to him and that no good will come from his father’s living a few more days. He offers you half a million dollars to go up to his father’s room and smother his father with a pillow. Is it appropriate for you to kill this man’s father in order to get money for yourself and this young man? ",Why?,AI,20.0,personal_moral,no,649
650,650,650,New Job,no,the two days extra vacation does not make up for being paid significantly less for very similar jobs,"You have been offered employment by two different firms, and you are  trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B's offer in order to have two more days of vacation per year?",Why?,Human,60841d3e92be890d07774975,non_moral,no,650
651,651,651,Standard Trolley,no,"because people are going to die either way and instead of 5 people dying, only one would die. i don't think i would want to cause any deaths but at least 4 more families would be saved from that heartache. ","You are at the wheel of a runaway trolley quickly approaching a fork  in the tracks. On the tracks extending to the left is a group of fi ve railway workmen. On the tracks extending to the right is a single railway workman. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to avoid the deaths of these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the death of the single workman. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen?",Why?,Human,60fd310fff5b2600c9d95554,impersonal_moral,no,651
652,652,652,Generic Brand,yes,it is the same ingredients ,"You have a headache. You go to the pharmacy with the intention of  buying a particular name-brand headache medicine. When you get there you discover that the pharmacy is out of the brand you were looking for. The pharmacist, whom you've known for a long time and in whom you have a great deal of trust, tells you that he has in stock a generic product which is, in his words, ""exactly the same"" as the product you had originally intended to buy. Would you purchase the generic brand instead of searching further for the name-brand product you were looking for?",Why?,Human,600976bb815503417c529565,non_moral,yes,652
653,653,653,Computer,yes,"  the savings of $500 is significant and worth the wait. even though i would have to use my old computer for a few more weeks, the savings of $500 far outweighs the inconvenience of having to wait. additionally, i am confident that i can still do everything i need to do on my old computer during the wait time.",You are looking to buy a new computer. At the moment the computer   that you want costs $1000. A friend who knows the computer industry has told you that this computer’s price will drop to $500 next month. If you wait until next month to buy your new computer you will have to use your old computer for a few weeks longer than you would like to. Nevertheless you will be able to do everything you need to do using your old computer during that time. Would you use your old computer for a few more weeks in order to save $500 on the purchase of a new computer? ,Why?,AI,0.0,non_moral,yes,653
654,654,654,Raffle,no," because the more people who buy tickets for the car b raffle, the greater the chances are that someone else will win the car instead of me. therefore, my chances of winning a car are better if i purchase a ticket for the car a raffle.","You’ve decided to buy a raffle ticket to support a local charity. They   are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car? ",Why?,AI,5.0,non_moral,no,654
655,655,655,Lifeboat 2,no,"  it is not appropriate to throw this person overboard in order to save the lives of the remaining passengers because it is morally wrong to take a life in order to save the lives of others. taking a human life should only be considered as a last resort, and it is impossible to know for certain that throwing the injured person overboard would guarantee the survival of everyone on board the lifeboat. making the most effort to keep everyone alive is the moral thing to do in this situation.","You are on a cruise ship when there is a fire on board,   and the ship has to be abandoned. The lifeboats are carrying many more people than they were designed to carry. The lifeboat you’re in is sitting dangerously low in the water—a few inches lower and it will sink. The seas start to get rough, and the boat begins to fill with water. If nothing is done it will sink before the rescue boats arrive and everyone on board will die. However, there is an injured person who will not survive in any case. If you throw that person overboard the boat will stay afloat and the remaining passengers will be saved. Is it appropriate for you to throw this person overboard in order to save the lives of the remaining passengers? ",Why?,AI,0.0,personal_moral,no,655
656,656,656,Sacrifice,no,"  killing a person is never an appropriate solution, even if it is done in self-defense or to save other lives. taking a life is an extreme measure, and it is important to consider all other options before taking such a drastic action. negotiating with the clan's leader could help to find an alternative solution that would not involve taking a life.","You, your husband, and your four children are crossing a mountain range on   your return journey to your homeland. You have inadvertently set up camp on a local clan’s sacred burial ground. The leader of the clan says that according to the local laws, you and your family must be put to death. However, he will let yourself, your husband, and your three other children live if you yourself will kill your oldest son. Is it appropriate for you to kill your oldest son in order to save your husband and your other three children? ",Why?,AI,0.0,personal_moral,no,656
