,title,a0,a1,q0,q1,source,sub_id,cond,val,index
1079,Plant Transport,yes,  the cost of replacing the upholstery on my car would be much greater than the cost of making an extra trip to the store.,"You are bringing home a number of plants from a store that is   about two miles from your home. The trunk of your car, which you’ve lined with plastic to catch the mud from the plants, will hold most of the plants you’ve purchased. You could bring all the plants home in one trip, but this would require putting some of the plants in the back seat as well as in the trunk. By putting some of the plants in the back seat you will ruin your fine leather upholstery which would cost thousands of dollars to replace. Would you make two trips home in order to avoid ruining the upholstery of your car? ",Why?,AI,9.0,non_moral,yes,1091
1080,Infanticide,no,"  there are a number of reasons why this would not be an appropriate solution to the situation. first, it would be incredibly difficult for the young mother to go through with such an act. the act of delivering a baby is an intense and emotional experience, and it is likely that the mother would feel a strong bond with her child immediately after birth. it would be very difficult for her to simply discard the baby in a dumpster after going through such an experience.  additionally, throwing the baby in the dumpster would be incredibly dangerous for the child. the baby would be exposed to the elements and could easily die of exposure or be injured by being thrown around in the dumpster.  finally, it is important to consider the legal implications of such an act. if the mother is caught, she could be charged with child abandonment or even murder. this could result in a prison sentence and a criminal record, which would negatively impact the rest of her life.  in conclusion, there are a number of reasons why it would not be appropriate for the fifteen year-old girl to throw her baby in the dumpster in order to move on with her life.","You are a fifteen year-old girl who has become pregnant. By wearing loose   clothing and deliberately putting on weight you have managed to keep your pregnancy a secret. One day, while at school, your water breaks. You run to the girls locker room and hide for several hours while you deliver the baby. You are sure that you are not prepared to care for this baby. You think to yourself that it would be such a relief to simply clean up the mess you’ve made in the locker room, wrap the baby in some towels, throw the baby in the dumpster behind the school, and act as if nothing had ever happened. Is it appropriate for you to throw your baby in the dumpster in order to move on with your life? ",Why?,AI,8.0,personal_moral,no,1092
1081,Plane Crash,yes,"  the boy has a broken leg and cannot move very quickly. his chances of surviving the journey are essentially zero. without food, you and the other man will probably die as well. the other man suggests that you sacrifice the boy and eat his remains over the next few days. in this scenario, it is appropriate to kill the boy so that you and the other man may survive your journey to safety.","Your plane has crashed in the Himalayas. The only survivors are yourself, another   man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety? ",Why?,AI,24.0,personal_moral,yes,1093
1082,Crying Baby,no,"  there are a few reasons why this would not be the right thing to do. first, it is never appropriate to kill another human being, no matter what the circumstances. second, even if smothering your child would guarantee the safety of yourself and the other townspeople, it is not your decision to make. each person has the right to life, and no one else has the right to take that away.","Enemy soldiers have taken over your village. They have orders to kill all   remaining civilians. You and some of your townspeople have sought refuge in the cellar of a large house. Outside you hear the voices of soldiers who have come to search the house for valuables. Your baby begins to cry loudly. You cover his mouth to block the sound. If you remove your hand from his mouth his crying will summon the attention of the soldiers who will kill you, your child, and the others hiding out in the cellar. To save yourself and the others you must smother your child to death. Is it appropriate for you to smother your child in order to save yourself and the other townspeople? ",Why?,AI,10.0,personal_moral,no,1094
1086,Submarine,yes,"  the captain is responsible for the lives of the entire crew, and in this situation, the only way to save the lives of the remaining crew members is to kill the injured crew member. this is the most pragmatic and utilitarian decision, as it will result in the greatest number of lives saved.",You are the captain of a military submarine travelling underneath a large iceberg.   An onboard explosion has caused you to lose most of your oxygen supply and has injured one of your crew who is quickly losing blood. The injured crew member is going to die from his wounds no matter what happens. The remaining oxygen is not sufficient for the entire crew to make it to the surface. The only way to save the other crew members is to shoot dead the injured crew member so that there will be just enough oxygen for the rest of the crew to survive. Is it appropriate for you to kill the fatally injured crew member in order to save the lives of the remaining crew members? ,Why?,AI,23.0,personal_moral,yes,1098
1087,Train or Bus,yes,"   the bus is scheduled to arrive an hour before the meeting, but the bus is occasionally several hours late because of traffic. it would be nice to have an extra hour before the meeting, but you cannot afford to be late. taking the train would be the best option to ensure you arrive on time for your meeting.","You need to travel from New York to Boston in order to attend   a meeting that starts at 2:00 PM. You can take either the train or the bus. The train will get you there just in time for your meeting no matter what. The bus is scheduled to arrive an hour before your meeting, but the bus is occasionally several hours late because of traffic. It would be nice to have an extra hour before the meeting, but you cannot afford to be late. Would you take the train instead of the bus in order to ensure your not being late for your meeting? ",Why?,AI,23.0,non_moral,yes,1099
1091,Stock Tip,no,"  releasing confidential information in this way would be a clear violation of the client's trust, and would be unethical. additionally, it would be illegal, as it would violate federal law.","You are a management consultant working on a case for a large corporate   client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt? ",Why?,AI,25.0,impersonal_moral,no,1103
1093,Coupons,no,"  the 30%-off coupon would save me more money on my purchase than the 25%-off coupon, so it makes more sense to use it now. additionally, if i wait to use the 30%-off coupon, it may expire before i have a chance to use it.","You have gone to a bookstore to buy $50 worth of books. You   have with you two coupons. One of these coupons gives you 30% off of your purchase price. This coupon expires tomorrow. The other coupon gives you 25% off your purchase price, and this coupon does not expire for another year. Would you use the 30%-off coupon for your present purchase so that you will have another coupon to use during the coming year? ",Why?,AI,27.0,non_moral,no,1105
1094,Environmental Policy A1,yes,"   policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. policy A is the better choice because it has a lower chance of causing deaths.","You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy A over Policy B? ",Why?,AI,2.0,impersonal_moral,yes,1106
1095,Plane Crash,yes,"  the boy's chances of survival are essentially zero. if the two men do not eat him, all three of them will die. therefore, it is appropriate to kill the boy so that the two men may have a chance at survival.","Your plane has crashed in the Himalayas. The only survivors are yourself, another   man, and a young boy. The three of you travel for days, battling extreme cold and wind. Your only chance at survival is to find your way to small a village on the other side of the mountain, several days away. The boy has a broken leg and cannot move very quickly. Hischances of surviving the journey are essentially zero. Without food, you and the other man will probably die as well. The other man suggests that you sacrifice the boy and eat his remains over the next few days. Is it appropriate to kill this boy so that you and the other man may survive your journey to safety? ",Why?,AI,14.0,personal_moral,yes,1107
1096,Five-for-Seven Trolley,yes,   it is appropriate because it will save the lives of the five workmen.,"You are at the wheel of a runaway trolley quickly approaching a fork   in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen? ",Why?,AI,8.0,impersonal_moral,yes,1108
1097,Resume,no,"  it is not appropriate for your friend to put false information on his resume in order to help him find employment. lying on a resume is unethical and could lead to serious consequences if discovered by an employer. if your friend is having difficulty finding a job, he should consider other options such as networking, attending job fairs, or working with a placement agency.","You have a friend who has been trying to find a job lately   without much success. He figured that he would be more likely to get hired if he had a more impressive resume. He decided to put some false information on his resume in order to make it more impressive. By doing this he ultimately managed to get hired, beating out several candidates who were actually more qualified than he. Was it appropriate for your friend to put false information on his resume in order to help him find employment? ",Why?,AI,12.0,impersonal_moral,no,1109
1098,Train or Bus,yes,"  the bus is scheduled to arrive an hour before the meeting, but the bus is occasionally several hours late because of traffic. it would be nice to have an extra hour before the meeting, but you cannot afford to be late.","You need to travel from New York to Boston in order to attend   a meeting that starts at 2:00 PM. You can take either the train or the bus. The train will get you there just in time for your meeting no matter what. The bus is scheduled to arrive an hour before your meeting, but the bus is occasionally several hours late because of traffic. It would be nice to have an extra hour before the meeting, but you cannot afford to be late. Would you take the train instead of the bus in order to ensure your not being late for your meeting? ",Why?,AI,18.0,non_moral,yes,1110
1099,Grandson,no,"  this was a dangerous and potentially deadly prank, and it was not appropriate given the boy's relationship to his grandmother. if the boy had wanted to play a trick on his grandmother, he should have done something that was not potentially harmful to her.","A young boy is visiting his grandmother for the weekend. Usually she gives   him a gift of a few dollars when he arrives, but this time she doesn’t. He asks her why not and she says something about how he doesn’t write her as many letters as he used to. Angered by this, the boy decides to play a trick on her. While his grandmother is busy cooking he removes a handful of pills from the medicine cabinet and puts them in his grandmother’s teapot. Later that night, she makes her tea, and the dissolved pills make her sick. In the morning she is dead. Was it appropriate for this boy to put pills in his grandmother’s teapot in order to play a trick on her? ",Why?,AI,19.0,personal_moral,no,1111
1101,Scenic Route,yes,  i think it would be a really fun and relaxing experience to take in the beautiful scenery while driving up the coast. i think it would make the drive much more enjoyable and it would be a great way to spend a weekend.,"An old friend has invited you to spend the weekend with him at   his summer home some ways up the coast from where you are. You intend to travel there by car, and there are two routes that you can take: the highway and the coastal road. The highway will get you to your friend’s house in about three hours, but the scenery along the highway is very boring. The coastal route will get you to your friend’s house in about three hours and fifteen minutes, and the scenery along the coastal road is breathtakingly beautiful. Would you take the coastal route in order to observe the beautiful scenery as you drive? ",Why?,AI,6.0,non_moral,yes,1114
1104,Speedboat,yes,"  the reasons for this are twofold. first, warn the tourists about the storm is the right thing to do. it is their safety that is at stake, and they should be made aware of the danger so that they can take steps to protect themselves. second, the speedboat is the only way that you can reach them in time. if you do not warn them, they could be caught in the storm and put in danger. borrowing the speedboat is the only way to ensure their safety, so it is the right thing to do.","While on vacation on a remote island, you are fishing from a seaside   dock. You observe a group of tourists board a small boat and set sail for a nearby island. Soon after their departure you hear over the radio that there is a violent storm brewing, a storm that is sure to intercept them. The only way that you can ensure their safety is to warn them by borrowing a nearby speedboat. The speedboat belongs to a miserly tycoon who would not take kindly to your borrowing his property. Is it appropriate for you to borrow the speedboat in order to warn the tourists about the storm? ",Why?,AI,0.0,impersonal_moral,yes,1117
1106,Hard Times,no,"  the reason why it is difficult to answer this question is because there are two opposing arguments that can be made. on one hand, it could be argued that it is appropriate to employ your daughter in the child pornography industry in order to feed your family. this is because you are in a situation where you have no other way to feed your family, and because your daughter could earn enough money to keep your family fed for several growing seasons. on the other hand, it could be argued that it is not appropriate to employ your daughter in the child pornography industry in order to feed your family. this is because the child pornography industry is unethical and exploitative, and because your daughter could be harmed both physically and emotionally by working in the child pornography industry. ultimately, the decision of whether or not to employ your daughter in the child pornography industry in order to feed your family is a personal one that you will have to make based on your own values and beliefs.","You are the head of a poor household in a developing country. Your   crops have failed for the second year in a row, and it appears that you have no way to feed your family. Your sons, ages eight and ten, are too young to go off to the city where there jobs, but your daughter could fare better. You know a man from your village who lives in the city and who makes sexually explicit films featuring small children such as your daughter. He tells you that in one year of working in his studio your daughter could earn enough money to keep your family fed for several growing seasons. Is it appropriate for you to employ your daughter in the child pornography industry in order to feed your family? ",Why?,AI,17.0,personal_moral,no,1119
1109,Scheduling,yes,"  because mr. morris is more flexible with his schedule, he can have his appointment at either 10:00 am or 3:00 pm. mrs. santiago can only have her appointment at 10:00 am. therefore, by scheduling mr. morris for 3:00 pm, both he and mrs. santiago can have their appointments next monday.","You are in charge of scheduling appointments in a dentist’s office. Two people,   Mr. Morris and Mrs. Santiago have called to make appointments for next Monday. The only available times for next Monday are at 10:00 AM and at 3:00 PM. Mr. Morris’s schedule is rather flexible. He can have his appointment either at 10:00 AM or at 3:00 PM. Mrs. Santiago’s schedule is less flexible. She can only have her appointment at 10:00 AM. Would you schedule Mr. Morris for 3:00 PM so that both he and Mrs. Santiago can have their appointments next Monday? ",Why?,AI,1.0,non_moral,yes,1122
1110,Preventing the Spread 2,yes,"  the ends justify the means. this man is about to go on a rampage and infect as many people as possible with hiv. by causing him to have a serious allergy attack, you are preventing him from being able to carry out his plan.",You are a waiter. You overhear one of your customers say that he   is about to go to jail and that in his last forty-eight hours of freedom he plans to infect as many people as possible with HIV. You know him well enough to know that he is telling the truth and that he has access to many potential victims. You happen to know that he has a very strong allergy to poppy seeds. If he eats even one he will go into convulsions and have to be hospitalized. for at least forty-eight hours. Is it appropriate for you to cause this man to have a serious allergy attack in order to prevent him from spreading HIV? ,Why?,AI,3.0,personal_moral,yes,1124
1111,Hired Rapist,no,"  there are many reasons why this would not be appropriate. first, it would be an incredibly traumatic experience for your wife. second, it would be a violation of her bodily autonomy and autonomy in general. third, it is not a guarantee that your wife would appreciate you after the rape; in fact, it is more likely that she would feel traumatized, violated, and angry. finally, even if your wife did appreciate your support after the rape, it would not be worth the cost of her trauma.","You have been dissatisfied with your marriage for several years. It is your   distinct impression that your wife no longer appreciates you. You remember how she appreciated you years ago when you took care of her after she was mugged. You devise the following plan to regain your wife’s affection. You will hire a man to break into your house while you are away. This man will tie up your wife and rape her. You, upon hearing the horrible news, will return swiftly to her side, to take care of her and comfort her, and she will once again appreciate you. Is it appropriate for you to hire a man to rape your wife so that she will appreciate you as you comfort her? ",Why?,AI,17.0,personal_moral,no,1125
1112,Raffle,no,"  there are a couple of reasons. first, i think that the two cars are equally good, so there is no reason to prefer one over the other. second, my chances of winning are better in the car a raffle than in the car b raffle, so there is no reason to buy a ticket for the car b raffle.","You’ve decided to buy a raffle ticket to support a local charity. They   are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car? ",Why?,AI,29.0,non_moral,no,1126
1113,Survey,yes,"  i would interrupt my dinner in order to earn $200 because it is a lot of money for a relatively short amount of time. additionally, i would be interested in the survey topics and think that it would be a fun and easy way to make some extra money."," A representative of a reputable, national survey organization calls you at your   home while you are having a quiet dinner by yourself. The representative explains that if you are willing to spend a half an hour answering questions about a variety of topics her organization will send you a check for $200. Would you interrupt your dinner in order to earn $200? ",Why?,AI,20.0,non_moral,yes,1127
1115,Environmental Policy B1,no,"  even though policy B has a lower chance of causing any deaths, the potential cost of those deaths is much higher. therefore, policy A is the better choice.","You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A? ",Why?,AI,28.0,impersonal_moral,no,1129
1116,Environmental Policy B1,no,"  policy B has a higher chance of causing deaths than policy A, so it is not a good choice for the legislature.","You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A? ",Why?,AI,6.0,impersonal_moral,no,1130
1117,Reversed Turnips,no,"  i would not turn my turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty. the reason for this is that thirty bushels is a greater amount than fifteen bushels, so it would be more beneficial to stay on the left path and harvest thirty bushels.",You are a farm worker driving a turnip-harvesting machine. You are approaching two   diverging paths. By choosing the path on the left you will harvest thirty bushels of turnips. By choosing the path on the right you will harvest fifteen bushels of turnips. If you do nothing your turnip-picking machine will turn to the left. Would you turn your turnip-harvesting machine to the right in order to harvest fifteen bushels of turnips instead of thirty? ,Why?,AI,15.0,non_moral,no,1131
1119,Food Prep,yes,  i would cut the vegetables first and then start the water boiling because it would satisfy my slight urge to cut vegetables.,"You are preparing pasta with fresh vegetables, and you are deciding on the   order in which you will do the various things you need to do. You are in a big hurry. At the moment you have a slight urge to cut vegetables. If you first start the water boiling and then cut the vegetables you will be done in twenty minutes. If you cut the vegetables and then start the water boiling you will be done in forty minutes. Would you cut the vegetables first and then start the water boiling in order to satisfy your slight urge to cut vegetables? ",Why?,AI,9.0,non_moral,yes,1133
1120,Donation,no,"  there are a few reasons why it is not appropriate to not make a donation to this organization in order to save money. first, as the letter explains, a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. this is a worthy cause, and by not making a donation, you would be depriving these people of potentially life-saving care. second, even though two hundred dollars may seem like a lot of money, it is actually a relatively small amount when compared to the overall budgets of most people. in other words, you likely have the financial resources to make this donation without jeopardizing your own financial stability. finally, making a donation to this organization is a way of demonstrating your compassion and commitment to helping others, both of which are important values to uphold.",You are at home one day when the mail arrives. You receive a   letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization. The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. Is it appropriate for you to not make a donation to this organization in order to save money? ,Why?,AI,3.0,impersonal_moral,no,1134
1121,Environmental Policy B1,yes,"   the expected number of deaths from policy A is 100 (90% x 0 + 10% x 1000), while the expected number of deaths from policy B is 800 (92% x 0 + 8% x 10,000). so, policy B is actually the safer choice, even though it has a higher chance of causing some deaths.","You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A? ",Why?,AI,0.0,impersonal_moral,yes,1135
1122,Hired Rapist,no,"  there are several reasons why this plan is inappropriate. first, it is morally wrong to hire someone to commit a violent act, such as rape, against another person. second, there is a significant risk that your wife could be seriously harmed, both physically and emotionally, by the rape. she could suffer from physical injuries, including sexually transmitted diseases, and she could also experience severe psychological trauma, such as post-traumatic stress disorder. finally, this plan could backfire and actually cause your wife to lose even more respect for you. if she found out that you had hired someone to rape her, she would likely be disgusted and appalled by your actions, and she would likely never want to see you again.","You have been dissatisfied with your marriage for several years. It is your   distinct impression that your wife no longer appreciates you. You remember how she appreciated you years ago when you took care of her after she was mugged. You devise the following plan to regain your wife’s affection. You will hire a man to break into your house while you are away. This man will tie up your wife and rape her. You, upon hearing the horrible news, will return swiftly to her side, to take care of her and comfort her, and she will once again appreciate you. Is it appropriate for you to hire a man to rape your wife so that she will appreciate you as you comfort her? ",Why?,AI,25.0,personal_moral,no,1136
1123,Environmental Policy B1,no,"  policy A has a lower chance of causing deaths than policy B because it has a lower chance of causing 1000 deaths (10% chance) than policy B does of causing 10,000 deaths (8% chance).","You are a member of a government legislature. The legislature is deciding between   two different policies concerning environmental hazards. Policy A has a 90% chance of causing no deaths at all and has a 10% chance of causing 1000 deaths. Policy B has a 92% chance of causing no deaths and an 8% chance of causing 10, 000 deaths. Is it appropriate for you to vote for Policy B over Policy A? ",Why?,AI,24.0,impersonal_moral,no,1137
1125,Donation,no,"  there are a number of reasons why it is not appropriate to refuse a donation when it is needed in order to provide medical attention to poor people in another part of the world. first, it is important to remember that our actions have consequences, and that refusing to make a donation when it is needed could have serious consequences for the people who are depending on that donation. secondly, it is important to be compassionate and to think about the wellbeing of others, even if we are not directly affected by their situation. finally, it is important to remember that we are all interconnected and that what happens to one group of people can ultimately affect us all.",You are at home one day when the mail arrives. You receive a   letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization. The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. Is it appropriate for you to not make a donation to this organization in order to save money? ,Why?,AI,1.0,impersonal_moral,no,1139
1126,Five-for-Seven Trolley,yes, because it is the lesser of two evils.,"You are at the wheel of a runaway trolley quickly approaching a fork   in the tracks. On the tracks extending to the left is a group of five railway workmen. On the tracks extending to the right is a group of seven railway workmen. If you do nothing the trolley will proceed to the left, causing the deaths of the five workmen. The only way to save these workmen is to hit a switch on your dashboard that will cause the trolley to proceed to the right, causing the deaths of the seven workmen on the other side. Is it appropriate for you to hit the switch in order to avoid the deaths of the five workmen? ",Why?,AI,12.0,impersonal_moral,yes,1140
1129,Shower,no,"  showering twice in one day would be a waste of water and would increase my water bill, so i would only shower once today.","You are planning to attend a luncheon this afternoon, and before you go   you will need to take a shower. You have some yard work that you would like to do before then, and doing this yard will cause you to perspire a fair amount. If you shower before you do your yard work you will have to take another shower before the luncheon. At the present time you could enjoy taking a shower. At the same time, you have a very strong commitment to lowering your water bill and to showering no more than once a day. Would you shower before doing your yard work in order to enjoy a shower now? ",Why?,AI,14.0,non_moral,no,1143
1137,Errands,no,"  the camera shop is near the furniture store and far from the bakery. as a result, you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store. going to the camera shop in the morning would mean that you would have to do more driving overall, which is something you very much dislike doing.","You need to go to the bakery in the morning and the furniture   store in the afternoon. You also need to go to the camera shop at some point. You prefer to do most of your errands in the morning, but you very much dislike doing unnecessary driving. The camera shop is near the furniture store and far from the bakery. As a result you will have to do less driving if you go to the camera shop in the afternoon when you go to the furniture store. Is it appropriate for you to go to the camera shop in the morning in order to do most of your errands in the morning? ",Why?,AI,22.0,non_moral,no,1151
1138,Raffle,no,"  if i were to buy a ticket for the car b raffle, my chances of winning would be lower than if i bought a ticket for the car a raffle. therefore, it does not make sense to buy a ticket for the car b raffle.","You’ve decided to buy a raffle ticket to support a local charity. They   are separately raffling off two different cars: Car A and Car B. You have decided to buy one raffle ticket. You are a serious and knowledgeable car enthusiast, and you think that these two cars are equally good. Because there have been a lot of adds for Car B on TV recently, many more people have chosen to buy tickets for the Car B raffle. Since more people have bought tickets for the Car B raffle, your chances of winning are better in the Car A raffle than in the Car B raffle. Would you buy a ticket for the Car B raffle in order to win a car? ",Why?,AI,28.0,non_moral,no,1152
1139,Donation,no,"  well, first of all, it is always important to be careful when considering donating to any organization, no matter how reputable they may be. make sure to do your research to ensure that your donation will be used in the way that you want it to be used.  that being said, in this case, it would not be appropriate to not make a donation to this organization simply in order to save money. the organization is reputable and is asking for a donation that would go towards a good cause - providing medical attention to poor people in another part of the world. if you are able to make a donation, even a small one, it would be greatly appreciated and would make a difference in the lives of those who need it.",You are at home one day when the mail arrives. You receive a   letter from a reputable international aid organization. The letter asks you to make a donation of two hundred dollars to their organization. The letter explains that a two hundred-dollar donation will allow this organization to provide needed medical attention to some poor people in another part of the world. Is it appropriate for you to not make a donation to this organization in order to save money? ,Why?,AI,18.0,impersonal_moral,no,1153
1140,Scenic Route,yes,  i think it would be a fun experience to take the scenic route and enjoy the views. i would not mind adding an extra fifteen minutes to the drive if it means i get to see some beautiful scenery.,"An old friend has invited you to spend the weekend with him at   his summer home some ways up the coast from where you are. You intend to travel there by car, and there are two routes that you can take: the highway and the coastal road. The highway will get you to your friend’s house in about three hours, but the scenery along the highway is very boring. The coastal route will get you to your friend’s house in about three hours and fifteen minutes, and the scenery along the coastal road is breathtakingly beautiful. Would you take the coastal route in order to observe the beautiful scenery as you drive? ",Why?,AI,19.0,non_moral,yes,1154
1142,Lost Wallet,no,"  it would not be appropriate for you to keep the money you found in the wallet in order to have more money for yourself because it would be stealing. taking the money from the wallet would be taking something that does not belong to you, and that is not something that an upstanding, honest person would do. even though you may be in a difficult financial situation, that does not give you the right to take other people's property. if you find a wallet, it is best to return it to the owner or to the police so that it can be returned to the owner.","You are walking down the street when you come across a wallet lying   on the ground. You open the wallet and find that it contains several hundred dollars in cash as well the owner’s driver’s license. From the credit cards and other items in the wallet it’s very clear that the wallet’s owner is wealthy. You, on the other hand, have been hit by hard times recently and could really use some extra money. You consider sending the wallet back to the owner without the cash, keeping the cash for yourself. Is it appropriate for you to keep the money you found in the wallet in order to have more money for yourself? ",Why?,AI,11.0,impersonal_moral,no,1156
1143,New Job,no,  the two firms and the two positions are otherwise very similar. the appropriate thing to do would be to compare the salary and vacation days across both firms and make a decision based on that.,"You have been offered employment by two different firms, and you are   trying to decide which offer to accept. Firm A has offered you an annual salary of $100, 000 and fourteen days of vacation per year. Firm B has offered you an annual salary of $50, 000 and sixteen days of vacation per year. The two firms and the two positions are otherwise very similar. Is it appropriate for you to take Firm B’s offer in order to have two more days of vacation per year? ",Why?,AI,0.0,non_moral,no,1157
1144,Architect,no,"  there are several reasons why it would not be appropriate to push your boss off of the building to get rid of him. first, taking another person's life is always a serious matter and should only be done in the most extreme circumstances. second, even if you were to succeed in killing your boss, it is highly likely that you would be caught and punished for your crime. finally, there are many other ways to deal with an unpleasant boss, such as looking for a new job or talking to him directly about your concerns.",You are a young architect visiting one of your construction sites with your   boss. Your boss is a despicable individual who makes everyone around him miserable including you. It occurs to you that if you were to push him off of the building you are inspecting he would fall to his death and everyone would think it was an accident. Is it appropriate for you to push your boss off of the building in order to get him out of your life? ,Why?,AI,11.0,personal_moral,no,1158
1146,Lost Wallet,no,"  it would be considered stealing if you kept the cash for yourself, since you would be taking something that does not belong to you. additionally, the owner of the wallet may need the cash for important expenses and not be able to afford to replace it.","You are walking down the street when you come across a wallet lying   on the ground. You open the wallet and find that it contains several hundred dollars in cash as well the owner’s driver’s license. From the credit cards and other items in the wallet it’s very clear that the wallet’s owner is wealthy. You, on the other hand, have been hit by hard times recently and could really use some extra money. You consider sending the wallet back to the owner without the cash, keeping the cash for yourself. Is it appropriate for you to keep the money you found in the wallet in order to have more money for yourself? ",Why?,AI,3.0,impersonal_moral,no,1160
1151,Choosing Classes,yes,"  the history class is a required course for my degree, and it is only offered during the fall term. i would need to take the class during the fall in order to graduate on time.","You are beginning your senior year of college. In order to fulfill your   graduation requirements you need to take a history class and a science class by the end of the year. During the fall term, the history class you want to take is scheduled at the same time as the science class you want to take. During the spring term the same history class is offered, but the science class is not. Would you take the history class during the fall term in order to help you fulfill your graduation requirements? ",Why?,AI,14.0,non_moral,yes,1165
1152,Stock Tip,no,  insider trading is illegal because it is a form of fraud. it occurs when a person uses confidential information to make trades in the stock market. this is unfair to other investors who do not have access to this information. it can also lead to manipulation of the stock market.,"You are a management consultant working on a case for a large corporate   client. You have access to confidential information that would be very useful to investors. You have a friend who plays the stock market. You owe this friend a sizable sum of money. By providing her with certain confidential information you could help her make a lot of money, considerably more than you owe her. If you did this, she would insist on canceling your debt. Releasing information in this way is strictly forbidden by federal law. Is it appropriate for you to release this information to your friend so that she will cancel your debt? ",Why?,AI,29.0,impersonal_moral,no,1166
1155,Euthanasia,no,  it is not appropriate for the leader to shoot the soldier in order to prevent him from being tortured because it is not the leader's decision to make. the leader should attempt to find a way to take the soldier with them or leave him in a safe place where he will not be found by the enemy.,"You are the leader of a small group of soldiers. You are on   your way back from a completed mission deep in enemy territory when one of your men has stepped in trap that has been set by the enemy and is badly injured. The trap is connected to a radio device that by now has alerted the enemy to your presence. They will soon be on their way. If the enemy finds your injured man they will torture him and kill him. He begs you not to leave him behind, but if you try to take him with you your entire group will be captured. The only way to prevent this injured soldier from being tortured is to shoot him yourself. Is it appropriate for you to shoot this soldier in order to prevent him from being tortured by the enemy? ",Why?,AI,2.0,personal_moral,no,1169
1157,Shower,yes,  showering before doing yard work would allow me to cool down and avoid getting too sweaty. it would also mean that i would be clean before the luncheon.,"You are planning to attend a luncheon this afternoon, and before you go   you will need to take a shower. You have some yard work that you would like to do before then, and doing this yard will cause you to perspire a fair amount. If you shower before you do your yard work you will have to take another shower before the luncheon. At the present time you could enjoy taking a shower. At the same time, you have a very strong commitment to lowering your water bill and to showering no more than once a day. Would you shower before doing your yard work in order to enjoy a shower now? ",Why?,AI,27.0,non_moral,yes,1171
